"player_id","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","total_points","in_dreamteam","gameweek"
"545","76","0","0","0","1","0","0","0","1","0","0","0","9","21.6","11.1","0.0","3.3","1","0.00","0.01","0.01","1.18","1","FALSE",1
"546","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"547","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"548","13","0","0","0","0","0","0","0","0","0","0","0","9","9.6","18.8","6.0","3.4","0","0.06","0.14","0.20","0.29","1","FALSE",1
"549","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"550","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"551","90","0","0","0","1","0","0","0","0","0","0","0","15","27.0","11.3","19.0","5.7","1","0.06","0.08","0.14","1.46","2","FALSE",1
"552","13","0","0","0","0","0","0","0","0","0","0","0","6","11.2","10.8","57.0","7.9","0","0.33","0.01","0.34","0.29","1","FALSE",1
"553","90","0","0","0","4","0","0","0","0","0","0","0","16","20.4","40.5","0.0","6.1","1","0.00","0.22","0.22","4.10","0","FALSE",1
"554","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"555","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"556","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0.00","0.00","0.00","0.00","0","FALSE",1
"557","27","0","0","0","1","0","0","0","0","0","0","0","2","0.0","6.5","26.0","3.1","0","0.34","0.35","0.69","0.72","1","FALSE",1
"558","57","0","0","0","0","0","0","0","0","0","0","0","-3","0.0","1.8","6.0","0.6","1","0.07","0.02","0.09","2.13","1","FALSE",1
"559","87","0","0","0","1","0","0","0","0","0","0","0","20","16.6","23.1","13.0","5.3","1","0.01","0.03","0.04","1.46","2","FALSE",1
