"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","element_type","ep_next","ep_this","event_points","first_name","form","id","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90"
,,171287,0,0,0,0,0,2,"2.5",,0,"Joe","0.0",298,FALSE,"",,45,"171287.jpg","3.2","Gomez","0.3",FALSE,,"a",11,14,68,0,0,0,0,"0.0","15.1","Gomez",1461,0,0,8,16,0,0,0,3,0,0,8,337,"312.4","46.1","38.0","39.7",15,"0.20","0.67","0.87","25.28",183,66,288,104,295,110,263,92,,"",,"",,"",0.01,0,0.04,0.05,1.56,0.99,356,79,170,103,116,32,322,115,0.92,0.49
,,56979,0,0,0,0,0,3,"2.1",,0,"Jordan","0.0",299,FALSE,"",,50,"56979.jpg","2.0","Henderson","0.1",FALSE,,"a",11,14,69,0,0,0,0,"0.0","13.8","Henderson",2060,0,3,8,30,0,0,0,2,0,0,0,401,"315.2","525.8","185.0","103.0",23,"1.35","3.59","4.93","31.96",181,82,50,42,155,100,112,73,,"",,"",,"",0.06,0,0.16,0.22,1.4,1.31,154,97,324,75,258,100,470,151,1,0.35
,,206915,0,0,0,0,0,3,"2.1",,0,"Curtis","0.0",300,FALSE,"",,50,"206915.jpg","2.9","Jones","0.2",FALSE,,"a",11,14,52,0,0,0,0,"0.0","10.4","Jones",1029,3,1,4,15,0,0,0,2,0,0,4,206,"272.8","238.1","240.0","75.0",12,"1.15","1.36","2.51","15.60",209,93,129,88,127,82,167,93,,"",,"",,"",0.1,0,0.12,0.22,1.36,1.31,227,147,397,125,154,62,395,123,1.05,0.35
,,200720,0,0,0,0,0,1,"1.5",,0,"Caoimhin","0.0",301,FALSE,"",,40,"200720.jpg","2.0","Kelleher","0.4",FALSE,,"a",11,14,2,0,0,0,0,"0.0","0.5","Kelleher",90,0,0,0,4,0,0,0,0,0,6,0,20,"38.0","0.0","0.0","3.8",1,"0.00","0.00","0.00","1.77",349,28,407,37,391,28,360,28,,"",,"",,"",0,6,0,0,1.77,4,548,54,50,27,249,27,283,46,1,0
,,204716,0,0,0,0,0,2,"2.8",,0,"Ibrahima","0.0",302,FALSE,"",,50,"204716.jpg","2.7","Konaté","1.3",FALSE,,"a",11,14,49,0,0,0,0,"0.0","9.8","Konaté",1551,0,0,7,22,1,0,0,5,0,0,0,305,"285.6","39.6","144.0","46.8",17,"1.21","0.65","1.86","24.34",199,73,295,108,183,40,240,83,,"",,"",,"",0.07,0,0.04,0.11,1.41,1.28,224,25,394,181,178,66,152,47,0.99,0.41
,,244731,0,0,0,0,0,3,"3.1",,0,"Luis","0.0",303,FALSE,"",,75,"244731.jpg","3.6","Díaz","5.8",FALSE,,"a",11,14,62,0,0,0,0,"0.0","8.3","Luis Díaz",991,4,2,4,11,0,0,0,2,0,0,7,166,"245.4","200.6","404.0","85.0",11,"2.48","1.32","3.80","11.99",219,100,151,98,77,54,142,84,,"",,"",,"",0.23,0,0.12,0.35,1.09,1,26,15,581,243,88,38,64,20,1,0.36
,,243016,0,0,0,0,0,3,"2.7",,0,"Alexis","0.0",304,FALSE,"",,60,"243016.jpg","4.0","Mac Allister","15.6",FALSE,,"a",11,14,140,0,0,0,0,"0.0","23.3","Mac Allister",2882,10,2,10,45,1,0,0,8,0,0,18,567,"750.8","746.4","714.0","221.3",31,"12.05","4.27","16.32","40.48",30,13,25,20,29,18,24,17,,"",,"",,"",0.38,0,0.13,0.51,1.26,1.41,75,46,543,219,50,22,22,8,0.97,0.31
,,60914,0,0,0,0,0,2,"2.8",,0,"Joel","0.0",305,FALSE,"",,50,"60914.jpg","2.6","Matip","0.3",FALSE,,"a",11,14,36,0,0,0,0,"0.0","7.2","Matip",1091,1,0,3,20,1,0,0,3,0,0,4,216,"232.8","61.9","102.0","39.6",12,"0.87","0.93","1.80","16.46",227,86,274,98,222,68,264,93,,"",,"",,"",0.07,0,0.08,0.15,1.36,1.65,158,16,328,172,185,72,331,118,0.99,0.25
,,197464,0,0,0,0,0,2,"1.5",,0,"Nathaniel","0.0",306,FALSE,"",,40,"197464.jpg","1.5","Phillips","0.2",FALSE,,"a",11,14,3,0,0,0,0,"0.0","0.8","Phillips",65,0,0,0,1,0,0,0,0,0,0,0,17,"15.4","1.4","18.0","3.4",1,"0.04","0.01","0.05","0.48",359,132,351,130,322,123,363,131,,"",,"",,"",0.06,0,0.01,0.07,0.66,1.38,545,164,47,21,311,116,347,125,1.38,0
,,122798,0,0,0,0,0,2,"3.6",,0,"Andrew","0.0",307,FALSE,"",,65,"122798.jpg","3.6","Robertson","3.9",FALSE,,"a",11,14,121,0,0,0,0,"0.0","18.6","Robertson",2579,0,8,9,34,0,0,0,3,0,0,10,633,"549.2","862.1","211.0","162.3",29,"1.24","6.69","7.93","36.59",85,28,15,3,144,20,51,6,2,"",,"",,"",0.04,0,0.23,0.27,1.28,1.19,43,3,550,199,86,22,85,29,1.01,0.31
,,118748,0,0,0,0,0,3,"4.5",,0,"Mohamed","0.0",308,FALSE,"",,125,"118748.jpg","6.3","Salah","24.6",FALSE,,"a",11,14,239,0,0,0,0,"0.0","19.1","Salah",3290,19,13,13,45,0,0,2,2,0,0,23,651,"1067.4","899.2","1688.0","365.6",37,"21.01","7.03","28.04","47.47",5,1,14,12,3,1,2,1,,"",2,"",2,"",0.57,0,0.19,0.76,1.3,1.23,3,1,597,252,4,1,14,5,1.01,0.36
,,424876,0,0,0,0,0,3,"3.0",,0,"Dominik","0.0",309,FALSE,"",,70,"424876.jpg","0.0","Szoboszlai","7.4",FALSE,,"a",11,14,0,0,0,0,0,"0.0","0.0","Szoboszlai",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",596,252,596,252,596,252,596,252,,"",,"",,"",0,0,0,0,0,0,35,22,568,235,596,252,54,16,0,0
