Player,Team,Pos,GW4,GW5,GW6,GW7,GW8,GW9,Total,Price,Value
Ake,Man City,D,0.64,0.33,0.63,0.52,0.6,0.49,3.2,5.5m,0.58
Wilson,Fulham,M,0.61,0.61,0.5,0.51,0.47,0.49,3.2,5.4m,0.59
Tchaouna,Burnley,M,0.61,0.54,0.44,0.48,0.56,0.51,3.13,5m,0.63
Kovacic,Man City,M,0,0.49,0.71,0.62,0.65,0.59,3.06,6m,0.51
Adama,Fulham,M,0.57,0.57,0.47,0.48,0.45,0.46,2.98,5.4m,0.55
Tzimas,Brighton,F,0.5,0.53,0.44,0.52,0.52,0.47,2.98,5.4m,0.55
B.Badiashile,Chelsea,D,0,0.43,0.57,0.48,0.61,0.81,2.9,4.4m,0.66
Darlow,Leeds,GK,0.81,0.43,0.42,0.39,0.42,0.41,2.89,4m,0.72
Odobert,Tottenham,M,0.48,0.43,0.53,0.46,0.5,0.48,2.88,5.4m,0.53
Dominguez,Nott'm Forest,M,0,0,0.2,0.53,1.06,1.09,2.87,5m,0.57
Bornauw,Leeds,D,0.53,0.4,0.42,0.41,0.53,0.57,2.87,4m,0.72
R.Gomes,Wolves,D,0.41,0.52,0.36,0.45,0.5,0.6,2.85,4.5m,0.63
Chiesa,Liverpool,M,0.67,0.43,0.41,0.37,0.48,0.49,2.84,6.5m,0.44
Andrey Santos,Chelsea,M,0.75,0.38,0.43,0.39,0.4,0.44,2.79,4.5m,0.62
Dibling,Everton,M,0.61,0.35,0.46,0.45,0.4,0.48,2.76,5.5m,0.5
J.Murphy,Newcastle,M,0.65,0.43,0.29,0.4,0.43,0.54,2.75,6.3m,0.44
Laurent,Burnley,M,0.56,0.46,0.4,0.42,0.45,0.42,2.7,5m,0.54
Onyeka,Brentford,M,0.58,0.43,0.43,0.4,0.39,0.37,2.61,5m,0.52
Nketiah,Crystal Palace,F,0,0.45,0.47,0.5,0.65,0.52,2.58,5.4m,0.48
Tsimikas,Liverpool,D,0.57,0.39,0.36,0.31,0.44,0.47,2.53,4.9m,0.52
