"player_id","player_name","position","team","current_owner","free_hit_flag","cost","status","chance_of_playing_this_round","chance_of_playing_next_round","form_starts","form_minutes","form_total_points","form_goals_scored","form_assists","form_goals_conceded","form_bps","form_influence","form_creativity","form_threat","form_ict_index","form_expected_goals","form_expected_assists","form_expected_goal_involvements","form_expected_goals_conceded","results_team_played","results_team_goals_scored","results_team_goals_conceded","results_team_points","results_team_strength","results_team_attack","results_team_defense","results_opposition_strength","results_opposition_attack","results_opposition_defense","fixtures_team_fixtures","fixtures_team_strength","fixtures_team_attack","fixtures_team_defense","fixtures_opposition_strength","fixtures_opposition_attack","fixtures_opposition_defense","total_starts","total_minutes","total_points","total_goals_scored","total_expected_goals","total_assists","total_expected_assists","total_goals_conceded","total_expected_goals_conceded","total_bps","total_ict_index"
452,"Laryea","DEF","Nott'm Forest","Free Agent","-",4.5,"unavailable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
454,"Mbe Soh","DEF","Nott'm Forest","Free Agent","-",4,"unavailable",0,0,0,31,2,0,0,1,2,2.46666666666667,0.3,7.66666666666667,1.03333333333333,0.04,0.00333333333333333,0.0433333333333333,0.22,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
455,"McKenna","DEF","Nott'm Forest","Free Agent","-",4.4,"available",1,1,3,270,7,0,0,5,42,24.9333333333333,0,0,2.46666666666667,0,0,0,1.31666666666667,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,5,416,12,0,0.21,0,0.17,6,5.64,64,13.8
696,"Murillo","DEF","Nott'm Forest","Free Agent","-",4.5,"available",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,14,1232,30,0,0.89,1,0.27,25,21.69,223,45.8
457,"Niakhat̩","DEF","Nott'm Forest","Free Agent","-",4.5,"injured",1,0,2,202,4,0,0,4,35,12.0666666666667,9.2,2,2.33333333333333,0.02,0.0533333333333333,0.0733333333333333,1.04666666666667,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,10,977,18,0,0.37,0,0.22,22,20.23,158,25.7
461,"O.Richards","DEF","Nott'm Forest","Free Agent","-",4.4,"unavailable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
711,"Omobamidele","DEF","Nott'm Forest","Free Agent","-",4.5,"available",1,1,,,,,,,,,,,,,,,,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
460,"Panzo","DEF","Nott'm Forest","Free Agent","-",4,"unavailable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
637,"Powell","DEF","Nott'm Forest","Free Agent","-",3.9,"available",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,0,0,0,0,0,0,0,0,0,0,0
23,"Tavares","DEF","Nott'm Forest","Free Agent","-",4,"available",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.33333333333333,1.66666666666667,2,1076.66666666667,1073.33333333333,1086.66666666667,1150,1140,1153.33333333333,3,1088.33333333333,1096.66666666667,1093.33333333333,1158.33333333333,1156.66666666667,1163.33333333333,1,93,0,0,0,0,0.03,2,1.68,8,1.8
