"event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
34,52,1899,4239602,4258047,1561089,30,1006,1,0,2,"3803304"
35,26,1921,8557135,8560058,1775414,62,1008,2,4,0,"3803304"
36,54,1975,7932310,7934173,2078502,15,1007,1,0,7,"3803304"
37,24,1999,7701859,7704964,2281191,22,1005,1,0,0,"3803304"
38,44,2043,5592033,5595561,2403624,14,1004,1,0,0,"3803304"
1,48,48,5270540,5309439,5270533,15,1000,0,0,4,"3824633"
2,65,113,1959376,1995999,4076970,15,999,0,0,11,"3824633"
3,51,164,4653840,4691009,4120885,15,995,0,0,1,"3824633"
4,73,237,829935,862894,2967064,15,993,0,0,12,"3824633"
5,58,295,3268931,3321042,2828487,15,993,0,0,5,"3824633"
6,35,330,6280275,6329780,3241974,15,996,0,0,3,"3824633"
7,22,352,7777949,7784223,3956773,31,997,2,0,2,"3824633"
8,37,389,6883863,6897417,4345563,35,999,1,0,3,"3824633"
9,42,431,6708739,6730784,4868431,35,999,0,0,3,"3824633"
10,35,466,6281595,6307537,5016552,37,996,1,0,7,"3824633"
11,43,509,3936297,3990695,4908382,37,995,0,0,6,"3824633"
12,27,536,8440236,8440833,5565047,27,997,1,0,1,"3824633"
13,25,561,7982316,8005828,5904150,27,995,0,0,2,"3824633"
14,35,596,8008424,8025596,6240923,27,991,0,0,5,"3824633"
15,41,637,5041022,5067114,6225101,34,990,2,0,6,"3824633"
16,41,678,7192455,7197367,6333385,33,990,1,0,7,"3824633"
17,37,715,6305400,6318150,6336340,35,992,1,0,0,"3824633"
18,58,773,1158667,1173550,5931239,11,988,1,0,0,"3824633"
19,50,823,1683492,1696451,5659587,13,989,1,0,0,"3824633"
20,75,898,19395,20877,5017580,1,991,0,0,0,"3824633"
21,74,972,800476,812435,4476159,1,991,0,0,2,"3824633"
22,44,1016,5787478,5836870,4548381,1,996,0,0,0,"3824633"
23,27,1043,6937565,7005431,4671265,1,998,0,0,3,"3824633"
24,55,1098,3402764,3436461,4526279,1,999,0,0,3,"3824633"
25,86,1184,56947,59285,3871964,1,1000,0,0,9,"3824633"
26,55,1239,6961712,6988714,4294344,1,1000,0,0,3,"3824633"
27,38,1277,5052618,5071616,4302747,7,999,1,0,0,"3824633"
28,55,1332,6285180,6291623,4448475,34,997,2,0,17,"3824633"
29,67,1399,5690915,5700995,4480505,30,994,1,0,15,"3824633"
30,19,1418,5249933,5256296,4539802,7,992,1,0,0,"3824633"
31,61,1479,833046,844098,4323821,3,993,1,0,7,"3824633"
32,28,1507,8164203,8197796,4563123,16,991,0,0,1,"3824633"
33,69,1576,3310265,3354042,4501384,16,993,0,0,8,"3824633"
34,35,1611,7990113,7994348,4672324,45,992,1,0,3,"3824633"
35,43,1654,4712655,4730199,4682808,35,993,1,0,3,"3824633"
36,90,1744,2715324,2722656,4507488,40,992,1,0,1,"3824633"
37,59,1799,1894685,1901828,4322803,90,991,2,4,0,"3824633"
38,50,1849,4450483,4457172,4297865,101,992,1,0,1,"3824633"
1,38,38,5943206,5960749,5943196,5,1000,0,0,0,"2347381"
2,56,94,3565554,3589646,5422438,5,998,0,0,4,"2347381"
3,53,147,4198086,4219914,5151956,5,994,0,0,8,"2347381"
4,28,175,7895036,7895831,6118598,0,993,1,0,6,"2347381"
5,19,194,8098744,8099523,6867841,0,989,0,0,0,"2347381"
6,43,237,3930494,3965433,6733578,0,987,0,0,3,"2347381"
7,21,258,7798625,7810069,6926322,0,985,0,0,3,"2347381"
8,43,301,5637385,5662000,6906834,0,982,0,0,6,"2347381"
9,80,381,2358387,2371035,6250154,0,981,0,0,10,"2347381"
10,56,437,1115381,1130069,5827062,0,984,0,0,1,"2347381"
11,42,479,4205719,4237023,5709629,0,988,0,0,10,"2347381"
12,37,516,7732017,7745297,6017944,0,988,0,0,3,"2347381"
13,33,549,6845534,6867607,6146155,0,991,0,0,4,"2347381"
14,46,595,6980999,6996949,6255684,0,992,0,0,1,"2347381"
15,49,644,2474884,2506797,6096622,0,992,0,0,2,"2347381"
16,23,667,8584638,8588763,6497672,0,989,0,0,2,"2347381"
17,49,716,3554156,3581735,6316519,0,989,0,0,8,"2347381"
18,42,758,3685810,3709381,6152791,0,990,0,0,0,"2347381"
19,49,807,1743892,1765810,5904594,0,992,0,0,0,"2347381"
20,29,836,6384433,6424170,6019390,0,993,0,0,0,"2347381"
21,58,894,1915756,1920306,5735134,4,992,1,0,5,"2347381"
22,34,928,7638057,7640698,5945505,7,992,2,0,0,"2347381"
23,66,994,29322,29628,5462350,12,991,1,0,0,"2347381"
24,39,1033,5882350,5907594,5517544,12,989,0,0,3,"2347381"
25,26,1059,8353759,8369517,5785528,12,989,0,0,3,"2347381"
26,75,1134,5128852,5139387,5740535,12,987,0,0,2,"2347381"
27,65,1199,279805,293048,5382292,12,987,0,0,17,"2347381"
28,107,1306,643678,646218,4798821,9,984,1,0,3,"2347381"
29,52,1358,7595348,7609243,5004452,9,984,0,0,4,"2347381"
30,60,1418,948699,960710,4536617,9,983,0,0,7,"2347381"
31,30,1448,7761180,7785941,4699088,9,983,0,0,2,"2347381"
32,63,1511,1757692,1778574,4512092,9,982,0,0,2,"2347381"
33,51,1562,6487253,6493767,4659202,3,982,2,0,2,"2347381"
34,60,1618,2498615,2509243,4590395,23,983,2,4,1,"2347381"
35,50,1668,2751998,2787477,4520465,23,982,0,0,10,"2347381"
36,106,1774,1357433,1362181,4172983,20,981,2,0,0,"2347381"
37,58,1832,1916872,1930348,3962405,10,980,0,0,6,"2347381"
38,71,1903,1259385,1273505,3737839,10,983,0,0,2,"2347381"
1,44,44,5559628,5596013,5559619,0,1000,0,0,1,"3823441"
2,48,92,5119303,5157663,5532513,0,999,0,0,0,"3823441"
3,35,127,7181309,7196961,6039633,0,996,0,0,1,"3823441"
4,45,172,6660800,6671912,6222767,0,992,2,0,0,"3823441"
5,42,214,6725684,6760290,6408632,0,991,0,0,9,"3823441"
6,55,269,1113908,1130742,5897269,3,991,2,0,1,"3823441"
7,62,331,133693,137000,4851897,6,991,1,0,1,"3823441"
8,70,401,286600,297791,3890610,6,993,0,0,2,"3823441"
9,53,454,5609376,5618395,4190626,9,996,1,0,3,"3823441"
10,44,498,3776174,3811099,4084977,4,995,1,0,0,"3823441"
11,32,530,6969445,6978029,4334935,8,994,2,0,0,"3823441"
12,38,568,7626908,7653571,4775659,6,990,0,0,0,"3823441"
13,45,605,4218325,4226847,4906142,25,990,3,8,0,"3823441"
14,36,641,8000761,8002829,5359728,25,989,1,0,0,"3823441"
15,31,672,7665431,7677659,5573174,30,988,1,0,0,"3823441"
16,30,702,8248433,8266275,5936533,30,985,0,0,0,"3823441"
17,47,749,4196563,4216852,5801895,32,984,2,0,0,"3823441"
18,43,792,3614256,3630430,5632250,18,983,1,0,2,"3823441"
19,46,838,2314248,2330020,5419027,27,985,1,0,0,"3823441"
20,52,890,1047867,1082988,5158942,27,984,0,0,0,"3823441"
21,42,932,4841027,4853878,5151533,24,983,1,0,2,"3823441"
22,53,985,3849470,3904439,5070862,24,984,0,0,2,"3823441"
23,48,1033,925008,939999,4841847,21,982,1,0,2,"3823441"
24,51,1084,4086853,4095929,4752281,0,983,2,0,1,"3823441"
25,46,1130,4787814,4802843,4733645,25,982,1,0,3,"3823441"
26,93,1223,3709308,3714503,4529239,37,982,1,0,8,"3823441"
27,41,1264,4226349,4246978,4492210,26,983,1,0,2,"3823441"
28,106,1370,667212,676645,3930336,26,982,0,0,8,"3823441"
29,71,1441,4955795,4969706,3934375,27,984,1,0,12,"3823441"
30,18,1443,5473722,5473931,4231615,52,981,5,16,0,"3823441"
31,47,1490,3297950,3368393,4192637,52,983,0,0,9,"3823441"
32,43,1533,5555579,5567032,4257376,76,983,1,0,7,"3823441"
33,61,1594,4752443,4792912,4297461,76,984,0,0,1,"3823441"
34,59,1653,2539167,2586549,4192504,76,984,0,0,26,"3823441"
35,35,1688,6694668,6766455,4296006,76,986,0,0,0,"3823441"
36,82,1770,3742579,3751416,4222367,131,981,2,0,0,"3823441"
37,72,1838,1020243,1025838,3902684,129,982,2,4,9,"3823441"
38,69,1907,1482653,1508278,3701999,123,980,0,0,10,"3823441"
1,51,51,5045352,5084204,5045344,0,1000,0,0,0,"3802409"
2,64,115,2117810,2155136,3911145,0,995,0,0,1,"3802409"
3,53,168,4296125,4330028,3863656,4,995,1,0,4,"3802409"
4,63,231,2571343,2618207,3348293,4,995,0,0,1,"3802409"
5,55,286,4006307,4058728,3305599,4,994,0,0,1,"3802409"
6,68,354,109085,112901,2112635,0,993,1,0,4,"3802409"
7,52,406,800710,827232,1672622,0,994,0,0,0,"3802409"
8,58,464,2100557,2126720,1521440,3,996,2,0,0,"3802409"
9,54,518,5430462,5451902,2245679,3,999,0,0,4,"3802409"
10,34,552,6402036,6443929,2489672,3,1002,0,0,9,"3802409"
11,34,586,6322599,6377012,2771100,3,1002,0,0,13,"3802409"
12,72,658,1358433,1380150,2407703,3,1001,0,0,13,"3802409"
13,60,718,994498,1013605,2037980,2,1000,1,0,6,"3802409"
14,28,746,8391544,8401811,2934015,2,999,0,0,2,"3802409"
15,49,795,2474884,2529580,2812925,2,996,0,0,6,"3802409"
16,48,843,5887303,5929943,3046932,2,997,0,0,0,"3802409"
17,53,896,2652097,2695020,2929741,2,994,0,0,0,"3802409"
18,61,957,792993,811082,2505495,2,994,0,0,3,"3802409"
19,53,1010,1291263,1301658,2203423,3,998,1,0,0,"3802409"
20,31,1041,5833021,5907356,2303892,3,997,0,0,0,"3802409"
21,40,1081,5379679,5390867,2487785,9,996,2,0,0,"3802409"
22,56,1137,3210427,3261434,2414074,9,996,0,0,0,"3802409"
23,32,1169,5515537,5555493,2466258,27,997,1,0,1,"3802409"
24,51,1220,4066734,4079067,2541604,37,998,1,0,0,"3802409"
25,67,1287,1036955,1049879,2255125,35,997,2,0,9,"3802409"
26,65,1352,6054123,6058079,2671238,19,996,1,0,3,"3802409"
27,44,1396,3279424,3339282,2623612,19,998,0,0,0,"3802409"
28,87,1483,1893709,1914051,2426578,19,998,0,0,13,"3802409"
29,79,1562,3262225,3300890,2395704,19,999,0,0,16,"3802409"
30,13,1575,6349504,6413465,2629138,19,998,0,0,0,"3802409"
31,43,1618,4407875,4484390,2661920,19,996,0,0,8,"3802409"
32,38,1656,6434630,6493073,2817295,19,995,0,0,16,"3802409"
33,66,1722,3856317,3898705,2817537,19,995,0,0,6,"3802409"
34,77,1799,470296,481128,2535354,19,996,0,0,6,"3802409"
35,51,1850,2543418,2600146,2473376,19,994,0,0,6,"3802409"
36,66,1916,6124047,6168612,2646873,6,993,0,0,12,"3802409"
37,65,1981,1423739,1427912,2443778,11,993,1,0,0,"3802409"
38,65,2046,1974444,2005827,2373880,11,994,0,0,14,"3802409"
1,24,24,6456025,6465210,6456012,10,1000,0,0,1,"3801379"
2,38,62,6602667,6626512,6648270,10,998,0,0,1,"3801379"
3,40,102,6754041,6763314,6813741,47,989,2,0,4,"3801379"
4,61,163,3140197,3167609,6505946,6,985,1,0,0,"3801379"
5,57,220,3511769,3563814,6233634,6,985,0,0,0,"3801379"
6,32,252,7061526,7080914,6398408,12,984,1,0,0,"3801379"
7,32,284,5751224,5797238,6412951,12,983,0,0,0,"3801379"
8,39,323,6414250,6454454,6483929,12,982,0,0,1,"3801379"
9,29,352,7834946,7851291,6842291,12,978,0,0,0,"3801379"
10,47,399,2976152,3008633,6681159,24,974,1,0,1,"3801379"
11,36,435,5827738,5884756,6672110,3,974,0,0,4,"3801379"
12,53,488,5129171,5172003,6574416,3,976,0,0,9,"3801379"
13,43,531,4509192,4557318,6485425,3,974,0,0,9,"3801379"
14,35,566,8067986,8069711,6729223,2,974,1,0,5,"3801379"
15,35,601,6605419,6666803,6787598,2,973,0,0,2,"3801379"
16,47,648,6072987,6115418,6769479,2,973,0,0,3,"3801379"
17,39,687,5777006,5822768,6724109,2,974,0,0,0,"3801379"
18,9,696,8598701,8609621,6968102,2,976,0,0,0,"3801379"
19,12,708,8537135,8553323,7176493,2,973,0,0,0,"3801379"
20,39,747,3555200,3625790,7144367,2,972,0,0,0,"3801379"
21,24,771,8199524,8224689,7247733,2,971,0,0,2,"3801379"
22,25,796,8510351,8511284,7440032,20,971,2,0,2,"3801379"
23,48,844,839225,872454,7305967,20,970,0,0,0,"3801379"
24,48,892,4407574,4447106,7214115,20,972,0,0,0,"3801379"
25,62,954,1643610,1658444,7048450,23,972,2,0,0,"3801379"
26,94,1048,3548326,3570280,6750406,23,971,0,0,3,"3801379"
27,45,1093,3038642,3096204,6664618,23,969,0,0,11,"3801379"
28,75,1168,3170055,3200385,6504357,18,969,0,0,1,"3801379"
29,86,1254,2034149,2062459,6239688,18,971,0,0,5,"3801379"
30,15,1269,5899678,5961920,6287052,18,969,0,0,0,"3801379"
31,41,1310,4988701,5065157,6278884,18,970,0,0,2,"3801379"
32,45,1355,4952808,5013662,6261620,18,971,0,0,0,"3801379"
33,69,1424,3310265,3353725,6135396,18,969,0,0,0,"3801379"
34,58,1482,2735382,2785171,6048341,18,969,0,0,6,"3801379"
35,58,1540,1494340,1502875,5910023,20,966,1,0,10,"3801379"
36,54,1594,7935477,7937251,6076924,65,965,2,0,0,"3801379"
37,52,1646,2612910,2619097,5927937,43,965,1,0,6,"3801379"
38,60,1706,2665575,2705275,5746358,43,965,0,0,0,"3801379"
1,102,102,253013,255870,253011,0,1000,0,0,7,"72693"
2,74,176,823932,825622,253646,0,1003,0,0,2,"72693"
3,67,243,1174579,1176101,201510,13,1009,1,0,3,"72693"
4,75,318,651796,652848,95244,12,1009,2,0,1,"72693"
5,54,368,4435954,4436533,244482,1,1007,2,4,2,"72693"
6,41,409,4714285,4715483,366719,1,1012,1,0,8,"72693"
7,61,470,146353,146718,132658,14,1007,0,0,8,"72693"
8,53,523,3354403,3355687,175404,8,1016,1,0,4,"72693"
9,84,607,1880518,1881013,204964,19,1022,1,0,13,"72693"
10,57,664,980785,981399,136101,19,1028,0,0,8,"72693"
11,53,717,1715971,1716919,161541,32,1028,1,0,23,"72693"
12,74,791,1167936,1168655,144052,17,1029,2,0,7,"72693"
13,62,853,715813,716112,108035,17,1034,0,0,0,"72693"
14,62,915,4004373,4005047,128255,20,1035,2,0,6,"72693"
15,41,956,4787387,4788416,165902,20,1035,0,0,3,"72693"
16,71,1027,1548652,1549544,149643,4,1036,2,0,10,"72693"
17,45,1072,4613720,4614233,221773,4,1038,1,0,0,"72693"
18,42,1110,3824403,3824723,314583,23,1035,2,4,0,"72693"
19,64,1174,363808,364619,209439,23,1036,0,0,4,"72693"
20,49,1223,1578940,1579552,174267,12,1036,1,0,0,"72693"
21,75,1294,769214,769816,169105,59,1033,2,4,1,"72693"
22,73,1363,940800,941020,142097,1,1035,2,4,2,"72693"
23,40,1403,2699191,2700098,126626,65,1039,1,0,9,"72693"
24,79,1482,714396,714968,104796,81,1043,1,0,4,"72693"
25,70,1548,748582,749214,100843,13,1043,2,4,0,"72693"
26,146,1690,205868,206056,72330,14,1039,2,4,20,"72693"
27,52,1742,1637607,1638324,72809,14,1039,0,0,10,"72693"
28,91,1833,1564393,1564734,74630,0,1019,0,0,16,"72693"
29,74,1903,4394284,4394565,109619,39,1021,2,4,23,"72693"
30,31,1934,3544221,3544335,153544,39,1025,1,0,0,"72693"
31,36,1970,6608289,6608617,183435,38,1025,1,0,0,"72693"
32,26,1996,8490507,8490537,283534,26,1023,1,0,7,"72693"
33,71,2059,3112630,3112867,300903,7,1014,3,8,8,"72693"
34,52,2111,4071160,4071972,315528,7,1014,0,0,6,"72693"
35,35,2146,6694668,6695646,351180,7,1011,0,0,7,"72693"
36,96,2234,2137432,2137496,403987,6,1002,4,8,1,"72693"
37,79,2313,693437,693805,358983,6,1004,0,0,7,"72693"
38,75,2388,919544,920184,341867,2,1005,2,0,0,"72693"
