"event","points","total_points","rank","rank_sort","overall_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
18,43,1072,7341512,7413864,283591,0,1017,0,0,8,"4445297"
19,53,1125,4146703,4179818,336552,19,1017,1,0,4,"4445297"
20,74,1199,1759358,1792378,304180,4,1016,2,0,4,"4445297"
21,77,1276,2559485,2634721,310029,4,1017,0,0,1,"4445297"
22,87,1363,748449,755979,247697,0,1011,0,0,5,"4445297"
23,76,1439,3160376,3215700,269817,0,1014,0,0,11,"4445297"
24,59,1498,1184615,1232737,229604,0,1018,0,0,2,"4445297"
25,67,1565,7550723,7560922,377778,1,1014,2,0,2,"4445297"
26,83,1648,159711,166225,132757,1,1014,0,0,11,"4445297"
27,87,1731,1590550,1596637,163051,35,1008,3,4,2,"4445297"
28,23,1754,7745315,7814637,331540,35,1007,0,0,0,"4445297"
29,104,1858,1604065,1624116,380831,35,1005,0,0,30,"4445297"
30,61,1919,3660360,3695689,359690,6,1005,1,0,3,"4445297"
31,59,1978,4429068,4459295,377247,3,1001,1,0,3,"4445297"
32,31,2009,8172935,8224079,569680,3,999,0,0,0,"4445297"
33,59,2064,4992720,4995993,610622,32,999,3,4,3,"4445297"
34,101,2157,2039801,2046676,682172,7,999,3,8,0,"4445297"
35,38,2195,5688063,5812476,681890,7,996,0,0,4,"4445297"
36,102,2297,899647,908750,615969,5,993,2,0,2,"4445297"
37,65,2362,2342080,2364269,610997,3,994,1,0,12,"4445297"
38,36,2398,6879009,6902627,666307,17,992,1,0,2,"4445297"
1,67,67,1941176,1948640,1941175,70,1000,0,0,2,"200257"
2,18,85,8820368,8820376,7014474,80,1003,1,0,11,"200257"
3,82,167,18946,18958,3506822,74,998,1,0,3,"200257"
4,50,217,7611244,7612239,4729861,84,1001,1,0,2,"200257"
5,21,238,9866964,9866970,7041826,74,1001,1,0,3,"200257"
6,34,272,8667457,8669149,7333425,81,995,0,0,11,"200257"
7,0,272,1,99804,7282108,81,994,0,0,0,"200257"
8,21,293,10301714,10301717,7995835,71,995,1,0,6,"200257"
9,15,308,10486169,10486172,8761923,71,996,0,0,6,"200257"
10,43,351,9329474,9329749,8865565,53,992,2,0,2,"200257"
11,43,394,6326121,6328322,8862181,53,991,0,0,1,"200257"
12,29,423,8498646,8499595,8931519,53,991,0,0,2,"200257"
13,40,463,8910623,8911382,8976612,53,989,0,0,7,"200257"
14,49,512,8162594,8163925,9001516,53,989,0,0,1,"200257"
15,44,556,8211782,8212491,9020208,53,992,0,0,7,"200257"
16,71,627,141479,141575,8641267,53,991,0,0,1,"200257"
17,45,672,10271950,10271951,8821977,68,991,2,0,6,"200257"
18,43,715,7341512,7343537,8780555,68,992,0,0,2,"200257"
19,35,750,9410729,9411614,8874639,68,992,0,0,2,"200257"
20,57,807,6468371,6469137,8767063,53,990,1,0,2,"200257"
21,35,842,10539511,10539521,8960568,54,989,1,0,10,"200257"
22,30,872,8315450,8315544,8987278,40,987,1,0,2,"200257"
23,39,911,10545775,10545779,9131350,49,988,1,0,3,"200257"
24,50,961,3740188,3742360,9033389,67,987,1,0,0,"200257"
25,68,1029,7184674,7185642,9009992,67,985,0,0,0,"200257"
26,64,1093,1273152,1273549,8820897,87,986,2,0,2,"200257"
27,47,1140,8433847,8434531,8829654,87,987,0,0,7,"200257"
28,51,1191,1782030,1783412,8565656,87,987,0,0,20,"200257"
29,75,1266,6516521,6517464,8478299,87,986,0,0,20,"200257"
30,25,1291,11164915,11165008,8729161,87,983,0,0,20,"200257"
31,71,1362,1258587,1260424,8552997,82,984,1,0,4,"200257"
32,34,1396,7713447,7713622,8526615,76,985,1,0,2,"200257"
33,38,1434,9802018,9802234,8631536,65,985,2,0,12,"200257"
34,73,1507,7526883,7527993,8641371,65,981,0,0,9,"200257"
35,29,1536,9860458,9861958,8726012,57,981,1,0,9,"200257"
36,70,1606,4145409,4145944,8580989,76,983,2,0,3,"200257"
37,54,1660,5381772,5382620,8492327,82,985,1,0,0,"200257"
38,35,1695,7199242,7200526,8512482,90,985,1,0,0,"200257"
1,51,51,5378191,5427700,5378186,15,1000,0,0,2,"2359578"
2,63,114,3281599,3308764,4185474,14,999,1,0,3,"2359578"
3,49,163,4455283,4484801,4016566,14,997,1,0,8,"2359578"
4,43,206,8710370,8718738,5683991,14,992,1,0,2,"2359578"
5,39,245,9179669,9183173,6719769,3,989,1,0,1,"2359578"
6,44,289,5176338,5207647,6636129,4,988,1,0,11,"2359578"
7,0,289,6582907,7188787,6584014,9,986,1,0,0,"2359578"
8,18,307,10335718,10337094,7640286,9,986,0,0,0,"2359578"
9,37,344,9846617,9847467,8145106,7,987,2,0,20,"2359578"
10,51,395,7628764,7639317,8156469,9,986,1,0,0,"2359578"
11,52,447,2895160,2922682,7992213,6,987,1,0,9,"2359578"
12,35,482,6734661,6766875,7996259,0,989,0,0,0,"2359578"
13,37,519,9373619,9388449,8159551,0,986,0,0,2,"2359578"
14,49,568,8320918,8331865,8223633,1,984,1,0,11,"2359578"
15,21,589,10744135,10744186,8625484,8,983,2,0,2,"2359578"
16,46,635,4300722,4333413,8533606,11,982,1,0,2,"2359578"
17,41,676,10490919,10490967,8776066,9,981,2,0,3,"2359578"
18,59,731,1983091,1991960,8587471,11,982,2,4,7,"2359578"
19,47,778,5863788,5901594,8541753,11,981,0,0,0,"2359578"
20,71,849,2383777,2403786,8246106,10,981,1,0,6,"2359578"
21,38,887,10339963,10340112,8446982,74,984,2,0,11,"2359578"
22,51,938,4479643,4485875,8228556,80,986,1,0,3,"2359578"
23,50,988,9235692,9250164,8300542,80,985,0,0,4,"2359578"
24,39,1027,7732963,7741414,8320992,80,985,1,0,6,"2359578"
25,20,1047,11144737,11144746,8836792,76,983,1,0,9,"2359578"
26,64,1111,1259298,1265218,8641198,67,983,1,0,12,"2359578"
27,72,1183,3812333,3821645,8392507,66,982,1,0,16,"2359578"
28,9,1192,10806116,10815669,8556269,66,983,0,0,0,"2359578"
29,95,1287,2790752,2808115,8261082,66,985,0,0,9,"2359578"
30,36,1323,10602748,10603629,8420681,55,985,2,0,12,"2359578"
31,41,1364,9627498,9647009,8534691,55,983,0,0,1,"2359578"
32,56,1420,2474007,2497840,8299691,55,980,0,0,18,"2359578"
33,51,1471,6897273,6929675,8293644,55,978,0,0,7,"2359578"
34,66,1537,9082760,9083929,8377631,55,976,1,0,0,"2359578"
35,44,1581,3402019,3421176,8335282,73,976,1,0,2,"2359578"
36,38,1619,10529726,10539270,8471003,74,978,0,0,7,"2359578"
37,68,1687,1708106,1720468,8257750,98,978,1,0,1,"2359578"
38,62,1749,882718,889146,8035416,112,976,1,0,0,"2359578"
