Player,Team,Pos,GW1,GW2,GW3,GW4,GW5,GW6,Total,Price,Value
Rodon,Leeds,D,3.31,1.97,2.57,2.58,2.78,2.71,15.91,4m,3.98
Potts,West Ham,M,2.99,2.76,2.65,2.56,2.56,2.39,15.91,4.5m,3.54
Van Hecke,Brighton,D,3.44,2.97,2.19,2.37,2.92,2.01,15.9,4.5m,3.53
Baleba,Brighton,M,1.56,2.82,2.82,2.83,2.97,2.79,15.79,5m,3.16
Lewis-Skelly,Arsenal,D,2.54,3.24,2.02,3.18,2.38,2.39,15.74,5.5m,2.86
Berge,Fulham,M,2.65,2.6,2.53,2.74,2.69,2.53,15.73,5m,3.15
Ballard,Sunderland,D,2.96,2.87,2.81,2.28,2.34,2.29,15.55,4.5m,3.45
Onana,Man Utd,GK,1.62,2.73,3.32,2.38,2.69,2.79,15.54,5m,3.11
Mayenda,Sunderland,F,3.11,2.84,2.76,2.25,2.37,2.2,15.52,5.5m,2.82
P.M.Sarr,Tottenham,M,3.48,2.44,2.7,2.33,2.17,2.37,15.5,5m,3.1
Dorgu,Man Utd,D,2.46,2.62,3.82,1.58,2.41,2.6,15.49,4.5m,3.44
Robinson,Fulham,D,0,2.8,2.38,3.92,3.71,2.67,15.48,5m,3.1
Truffert,Bournemouth,D,1.85,3.51,2.24,2.71,2.49,2.66,15.47,4.5m,3.44
Hughes,Crystal Palace,M,2.61,2.74,2.47,2.84,2.39,2.36,15.41,5m,3.08
Mykolenko,Everton,D,1.66,2.84,2.91,2.78,1.79,3.27,15.25,5m,3.05
De Ligt,Man Utd,D,2.53,2.58,3.49,1.74,2.38,2.53,15.25,5m,3.05
Yoro,Man Utd,D,2.5,2.6,3.61,1.66,2.35,2.52,15.24,4.5m,3.39
Ampadu,Leeds,M,2.72,2.31,2.54,2.47,2.52,2.59,15.15,5m,3.03
Mount,Man Utd,M,2.68,2.55,3.22,2.08,2.3,2.28,15.1,6m,2.52
Foster,Burnley,F,2.78,3.41,2.37,2.14,2.47,1.88,15.05,5m,3.01
Pau,Aston Villa,D,2.28,2.21,2.69,2.4,2.75,2.68,15.02,4.5m,3.34
Hall,Newcastle,D,1.1,2.34,3.02,3.51,2.49,2.51,14.97,5.5m,2.72
Raul,Fulham,F,2.56,2.51,2.09,2.87,2.74,2.2,14.97,6.5m,2.3
Yates,Nott'm Forest,M,2.65,2.41,2.56,2.2,2.38,2.54,14.73,5m,2.95
Bassey,Fulham,D,2.15,2.59,1.78,3.18,2.98,2.03,14.71,4.5m,3.27
Gudmundsson,Leeds,D,3.15,1.67,2.37,2.36,2.58,2.55,14.68,4m,3.67
Scott,Bournemouth,M,2.9,3.03,2.42,2.25,2.07,2.01,14.66,5m,2.93
Kayode,Brentford,D,2.46,2.4,2.87,2.16,2.31,2.44,14.65,4.5m,3.25
De Cuyper,Brighton,D,3.2,2.7,1.99,2.19,2.71,1.81,14.61,4.5m,3.25
Kluivert,Bournemouth,M,0,2.99,2.64,3.04,2.87,3.02,14.57,7m,2.08
Tanaka,Leeds,M,2.8,2.3,2.48,2.3,2.29,2.35,14.53,5m,2.91
Gundogan,Man City,M,2.91,2.57,2.27,2.34,1.81,2.61,14.51,6.5m,2.23
Bailey,Aston Villa,M,2.61,2.37,2.52,2.1,2.49,2.34,14.45,5.5m,2.63
Gravenberch,Liverpool,M,0,2.74,2.8,3,3.02,2.89,14.44,5.5m,2.63
Spence,Tottenham,D,3.75,1.49,2.52,2.2,1.83,2.62,14.41,4.5m,3.2
C.Jones,Liverpool,M,3.03,2.26,2.2,2.44,2.32,2.09,14.35,5.5m,2.61
Doherty,Wolves,D,2.19,2.27,3.12,1.9,2.93,1.94,14.35,4.5m,3.19
Bogle,Leeds,D,2.79,1.6,2.37,2.35,2.57,2.62,14.29,4.5m,3.18
Maatsen,Aston Villa,D,2.28,2.14,2.53,2.19,2.58,2.48,14.2,4.5m,3.16
Fofana,Chelsea,D,0.94,2.61,3.05,2.57,2.2,2.77,14.13,4.5m,3.14
Ugochukwu,Burnley,M,1.37,2.89,2.39,2.41,2.65,2.37,14.07,5m,2.81
White,Arsenal,D,2.29,2.97,1.71,2.8,2.05,2.03,13.85,5.5m,2.52
Lukic,Fulham,M,2.35,2.28,2.17,2.45,2.37,2.16,13.79,5m,2.76
Bentancur,Tottenham,M,3.11,2.2,2.39,2.06,1.93,2.07,13.76,5.5m,2.5
Lewis-Potter,Brentford,D,2.69,2.43,2.63,1.96,1.97,2.02,13.71,5m,2.74
Esteve,Burnley,D,1.97,3.31,1.98,1.89,2.79,1.48,13.42,4m,3.36
Hume,Sunderland,D,2.68,2.54,2.45,1.88,1.95,1.88,13.37,4.5m,2.97
Walker,Burnley,D,1.96,3.45,1.91,1.79,2.82,1.35,13.28,4.5m,2.95
Ekdal,Burnley,D,1.99,3.27,1.95,1.85,2.75,1.45,13.26,4m,3.32
Elanga,Newcastle,M,1.69,0.61,1.45,3.51,3.12,2.85,13.23,7m,1.89
King,Fulham,M,2.38,2.24,2.04,2.33,2.23,1.97,13.19,4.5m,2.93
Barry,Everton,F,2.49,2.25,2.11,2.19,1.78,2.33,13.15,6m,2.19
O.Dango,Bournemouth,M,2.49,2.81,2.02,2,1.84,1.85,13.01,6m,2.17
Dunk,Brighton,D,3.07,2.5,1.77,1.88,2.29,1.5,13.01,4.5m,2.89
Muniz,Fulham,F,2.17,2.07,1.77,2.5,2.44,2.01,12.95,5.5m,2.36
Hoever,Wolves,D,1.73,1.87,2.81,1.7,2.78,1.82,12.71,4m,3.18
Henry,Brentford,D,2.16,2.09,2.52,1.83,1.98,2.1,12.68,4.5m,2.82
Munetsi,Wolves,M,2.02,1.98,2.17,1.92,2.43,2,12.52,5.5m,2.28
Trippier,Newcastle,D,2.49,2.09,2.48,2.3,1.59,1.49,12.43,5m,2.49
Hartman,Burnley,D,1.82,3.23,1.78,1.67,2.64,1.25,12.38,4m,3.09
Reinildo,Sunderland,D,2.44,2.31,2.25,1.76,1.83,1.78,12.36,4m,3.09
Dubravka,Burnley,GK,0.29,2.67,2.25,2.25,2.59,2.21,12.25,4m,3.06
Bellegarde,Wolves,M,1.96,1.92,2.11,1.86,2.37,1.94,12.16,5.5m,2.21
Brooks,Bournemouth,M,2.22,2.61,1.87,1.87,1.71,1.72,12,5m,2.4
Hill,Bournemouth,D,1.85,2.86,1.8,1.91,1.74,1.78,11.94,4m,2.99
J.Ramsey,Aston Villa,M,2.04,1.89,2.02,1.78,2.03,1.96,11.72,5.5m,2.13
Broja,Burnley,F,0.73,2.67,2.03,2,2.37,1.9,11.71,5.5m,2.13
Janelt,Brentford,M,0,1.98,2.45,2.35,2.33,2.41,11.52,5m,2.3
Chalobah,Chelsea,D,2.4,1.8,2.04,1.79,1.58,1.89,11.5,5m,2.3
Laurent,Burnley,M,2.33,2.26,1.83,1.67,1.73,1.5,11.31,5m,2.26
Beto,Everton,F,2.1,1.85,1.77,1.91,1.58,2.09,11.29,5.5m,2.05
Bergvall,Tottenham,M,2.27,1.7,1.87,1.79,1.74,1.89,11.27,5.5m,2.05
Seelt,Sunderland,D,2.57,2.28,2.07,1.49,1.45,1.36,11.23,4m,2.81
Gomez,Brighton,M,2.22,1.87,1.81,1.74,1.8,1.58,11.02,5m,2.2
Malen,Aston Villa,M,1.87,1.72,1.86,1.64,1.99,1.91,10.99,5.5m,2
Smith,Bournemouth,D,1.08,2.64,1.49,1.95,1.76,1.92,10.83,4.5m,2.41
Shaw,Man Utd,D,1.97,1.92,2.68,1.06,1.53,1.58,10.74,4.5m,2.39
Digne,Aston Villa,D,1.56,1.49,1.79,1.65,1.94,1.91,10.34,4.5m,2.3
H.Traore,Bournemouth,M,2.19,2.31,1.6,1.5,1.37,1.36,10.34,4.5m,2.3
Dalot,Man Utd,D,1.76,1.7,2.33,1.1,1.55,1.64,10.08,4.5m,2.24
Hee Chan,Wolves,M,1.61,1.53,1.7,1.49,1.96,1.57,9.86,6m,1.64
Ake,Man City,D,2.15,1.63,1.38,1.56,1.11,1.89,9.72,5.5m,1.77
Kamada,Crystal Palace,M,0.94,1.78,1.63,1.95,1.7,1.66,9.67,5m,1.93
Lerma,Crystal Palace,M,1.66,1.58,1.49,1.74,1.58,1.58,9.62,5m,1.92
J.Timber,Arsenal,D,1.56,2.01,1.18,1.96,1.44,1.44,9.59,5.5m,1.74
Cook,Bournemouth,M,0,0,2.26,2.32,2.28,2.33,9.19,5m,1.84
Estêvao,Chelsea,M,1.85,1.36,1.52,1.48,1.37,1.61,9.19,6.5m,1.41
Longstaff,Leeds,M,1.61,1.28,1.49,1.5,1.56,1.68,9.13,5m,1.83
H.Bueno,Wolves,D,1.27,1.31,1.9,1.22,1.92,1.31,8.94,4.5m,1.99
Sangare,Nott'm Forest,M,1.48,1.43,1.53,1.41,1.49,1.57,8.91,5m,1.78
Tel,Tottenham,M,2.13,1.09,1.47,1.37,1.31,1.55,8.91,6.5m,1.37
Marc Guiu,Sunderland,F,0.43,1.63,1.86,1.61,1.71,1.65,8.88,4.5m,1.97
Christie,Bournemouth,M,0,0.37,0.87,2.5,2.51,2.58,8.83,5m,1.77
Igor Jesus,Nott'm Forest,F,1.53,1.37,1.55,1.18,1.48,1.61,8.72,6m,1.45
Alcaraz,Everton,M,1.84,1.48,1.39,1.38,1.13,1.43,8.65,5.5m,1.57
O'Nien,Sunderland,D,0,0.35,1.07,2.3,2.46,2.44,8.62,4m,2.16
Buendia,Aston Villa,M,1.53,1.38,1.47,1.3,1.5,1.44,8.62,5.5m,1.57
Soucek,West Ham,M,1.58,1.33,1.36,1.41,1.44,1.31,8.43,6m,1.41
Sonne,Burnley,D,1.44,2.22,1.22,1.06,1.55,0.75,8.24,4m,2.06
Udogie,Tottenham,D,0.58,1.01,1.66,1.58,1.37,1.96,8.15,4.5m,1.81
Aznou,Everton,D,1.78,1.44,1.43,1.26,0.82,1.36,8.09,4.5m,1.8
McNeil,Everton,M,1.73,1.34,1.27,1.29,1.06,1.36,8.07,6m,1.34
Mosquera,Wolves,D,0.38,1.32,1.81,1.26,1.81,1.33,7.9,4.5m,1.75
Havertz,Arsenal,F,1.28,1.49,1.08,1.42,1.24,1.2,7.7,7.5m,1.03
Gusto,Chelsea,D,0.98,1.27,1.49,1.33,1.16,1.45,7.68,5m,1.54
Trossard,Arsenal,M,0.4,1.68,1.19,1.6,1.37,1.34,7.59,7m,1.08
Welbeck,Brighton,F,1.26,1.1,1.15,1.28,1.41,1.24,7.44,6.5m,1.14
Odobert,Tottenham,M,1.69,0.93,1.19,1.14,1.1,1.26,7.31,5.5m,1.33
Jota,Nott'm Forest,M,1.25,1.13,1.28,1,1.23,1.36,7.24,5.5m,1.32
Calafiori,Arsenal,D,1.14,1.44,0.9,1.46,1.12,1.12,7.19,5.5m,1.31
Milambo,Brentford,M,1.52,1.12,1.11,1.09,1.1,1.19,7.13,5.5m,1.3
Smith Rowe,Fulham,M,1.25,1.07,0.93,1.32,1.3,1.1,6.97,6m,1.16
B.Badiashile,Chelsea,D,0.51,1.23,1.42,1.28,1.14,1.38,6.95,4.5m,1.55
Madueke,Arsenal,M,1.13,1.32,0.95,1.26,1.09,1.06,6.8,7m,0.97
Bradley,Liverpool,D,0.4,0.95,1.06,1.47,1.53,1.34,6.74,5m,1.35
Robertson,Liverpool,D,1.17,0.78,0.87,1.21,1.26,1.12,6.4,6m,1.07
Andreas,Fulham,M,1.11,0.96,0.85,1.21,1.2,1.03,6.36,5.5m,1.16
Coppola,Brighton,D,1.26,1.09,0.87,0.97,1.17,0.87,6.24,4.5m,1.39
E.Le Fee,Sunderland,M,1.33,1.09,1.02,0.87,0.91,0.91,6.14,5m,1.23
Esse,Crystal Palace,M,1.07,0.99,0.88,1.13,0.95,0.91,5.95,5m,1.19
J.Cuenca,Fulham,D,1.2,1.06,0.76,1.12,1.04,0.76,5.93,4.5m,1.32
Akanji,Man City,D,1.26,0.87,0.79,0.98,0.72,1.29,5.9,5.5m,1.07
Heaven,Man Utd,D,1.06,0.92,1.24,0.64,0.87,0.93,5.66,4m,1.42
Harrison,Leeds,M,0.92,0.72,0.88,0.94,1,1.11,5.57,5.5m,1.01
Bruun Larsen,Burnley,M,1.07,0.99,0.77,0.82,1.04,0.84,5.52,5.5m,1
Norgaard,Arsenal,M,0.93,0.99,0.83,0.98,0.89,0.88,5.49,5.5m,1
